Date.Collected,Tube.Number,Species,Tag.Number,Colony.ID,Origin,Treatment,Gamete,Vol,Notes
20201012,229,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Sperm,NA,Not enough for sampling
20201012,230,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Sperm,NA,Not enough for sampling
20201012,231,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Sperm,NA,Not enough for sampling
20201012,232,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Eggs,250uL,
20201012,233,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Eggs,250uL,
20201012,234,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Eggs,250uL,
20201012,235,A.cyatherea,3_3.1,Acya_3_3.1,Nursery,Nursery,Eggs,250uL,
20201012,236,A.cyatherea,3_3.1,Acya_3_3.1,Nursery,Nursery,Eggs,250uL,
20201012,237,A.cyatherea,3_3.1,Acya_3_3.1,Nursery,Nursery,Eggs,250uL,
20201012,238,A.cyatherea,8_2.1,Acya_8_2.1,Nursery,Nursery,Eggs,250uL,
20201012,239,A.cyatherea,8_2.1,Acya_8_2.1,Nursery,Nursery,Eggs,250uL,
20201012,240,A.cyatherea,8_2.1,Acya_8_2.1,Nursery,Nursery,Eggs,250uL,
20201012,241,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Eggs,250uL,
20201012,242,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Eggs,250uL,
20201012,243,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Eggs,250uL,
20201012,214,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Eggs,250uL,
20201012,215,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Eggs,250uL,
20201012,216,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Eggs,250uL,
20201012,320,A.cyatherea,3_3.1,Acya_3_3.1,Nursery,Nursery,Sperm,500uL,Not much so took less than usual
20201013,159,A.cyatherea,14_4.2,Acya_14_4.2,Nursery,Nursery,Sperm,500uL,
20201013,160,A.cyatherea,14_4.2,Acya_14_4.2.2,Nursery,Nursery,Sperm,500uL,
20201013,161,A.cyatherea,14_4.2,Acya_14_4.2.2,Nursery,Nursery,Sperm,500uL,
20201013,162,A.cyatherea,14_4.2,Acya_14_4.2.2,Nursery,Nursery,Eggs,250uL,
20201013,185,A.cyatherea,14_4.2,Acya_14_4.2.2,Nursery,Nursery,Eggs,250uL,
20201013,186,A.cyatherea,14_4.2,Acya_14_4.2.2,Nursery,Nursery,Eggs,250uL,
20201013,187,A.pulchra,206,Apul.2,Mahana,Wild,Sperm,500uL,
20201013,188,A.pulchra,206,Apul.2,Mahana,Wild,Sperm,500uL,
20201013,189,A.pulchra,206,Apul.2,Mahana,Wild,Sperm,500uL,
20201013,228,A.pulchra,206,Apul.2,Mahana,Wild,Eggs,250uL,
20201013,230,A.pulchra,206,Apul.2,Mahana,Wild,Eggs,250uL,
20201013,231,A.pulchra,206,Apul.2,Mahana,Wild,Eggs,250uL,
20201013,272,A.cyatherea,8_3.5,Acya_8_3.5.2,Nursery,Nursery,Sperm,500uL,
20201013,273,A.cyatherea,8_3.5,Acya_8_3.5.2,Nursery,Nursery,Sperm,500uL,
20201013,298,A.cyatherea,8_3.5,Acya_8_3.5.2,Nursery,Nursery,Sperm,500uL,
20201013,299,A.cyatherea,8_3.5,Acya_8_3.5.2,Nursery,Nursery,Eggs,250uL,
20201013,300,A.cyatherea,8_3.5,Acya_8_3.5.2,Nursery,Nursery,Eggs,250uL,
20201013,301,A.cyatherea,8_3.5,Acya_8_3.5.2,Nursery,Nursery,Eggs,250uL,
20201014,305,A.pulchra,1,Apul_1,Nursery,Nursery,Sperm,500uL,
